"","Year","Countries","Economic Freedom Summary Index","Rank","Size of Government","Legal System & Property Rights","Sound Money","Freedom to trade internationally","Regulation","GDP per capita","World GDP","USD"
"101",2010,"Turkey",6.87,75,6.76,5.06,8.86,7.35,6.32,10672.4001621088,6.59567e+13,83.33632
"102",2010,"United Kingdom",7.86,9,5.18,7.97,9.58,8.78,7.78,38893.0184937365,6.59567e+13,83.33632
"103",2010,"United States",7.81,11,6.39,7.14,9.68,7.72,8.14,48375.4069462972,6.59567e+13,83.33632
"104",2010,"Venezuela",3.96,153,4.96,2.48,4.72,3.47,4.19,NA,6.59567e+13,83.33632
"105",2005,"Argentina",5.99,108,7.56,4.22,5.44,6.42,6.31,5076.8838291729,4.74118e+13,90.71604
"106",2005,"Australia",8.07,10,6.38,8.48,9.44,7.48,8.55,33961.6818019217,4.74118e+13,90.71604
"107",2005,"Austria",7.85,14,5.23,8.68,9.55,8.15,7.62,38403.1338770715,4.74118e+13,90.71604
"108",2005,"Belgium",7.41,35,4.34,6.97,9.53,8.27,7.96,36967.2591839688,4.74118e+13,90.71604
"109",2005,"Brazil",6.18,100,6.73,4.69,7.64,7.15,4.67,4770.18384511293,4.74118e+13,90.71604
"110",2005,"Canada",8.12,9,6.38,8.08,9.68,7.77,8.66,36189.5883840265,4.74118e+13,90.71604
"111",2005,"Chile",7.74,17,7.43,5.99,9.34,8.45,7.5,7615.30467991411,4.74118e+13,90.71604
"112",2005,"Colombia",5.94,111,4.45,4.42,7.81,6.48,6.54,3386.02560001811,4.74118e+13,90.71604
"113",2005,"Congo, Dem. R.",4.61,137,7.16,1.37,5.04,4.9,4.57,1637.06438124572,4.74118e+13,90.71604
"114",2005,"Denmark",7.89,12,3.81,8.99,9.49,8.54,8.6,48799.8203703247,4.74118e+13,90.71604
"115",2005,"Ecuador",5.94,111,8.03,3.54,4.73,7.42,5.99,3021.94254731609,4.74118e+13,90.71604
"116",2005,"Finland",7.86,13,4.47,9.07,9.58,8.35,7.83,38969.171631813,4.74118e+13,90.71604
"117",2005,"France",7.31,44,4.11,7.19,9.58,8.22,7.47,34760.1877663866,4.74118e+13,90.71604
"118",2005,"Germany",7.75,16,5.74,8.8,9.53,8.24,6.45,34696.62091671,4.74118e+13,90.71604
"119",2005,"Greece",7.38,37,6.77,6.74,9.56,7.75,6.07,22551.735744099,4.74118e+13,90.71604
"120",2005,"Guatemala",7.22,51,8.08,4.68,9.17,7.65,6.5,2077.83438041454,4.74118e+13,90.71604
"121",2005,"Hong Kong",9.05,1,9.08,8.2,9.48,9.52,8.98,1311.74171442571,4.74118e+13,90.71604
"122",2005,"Iceland",8.13,8,6.9,9.05,8.75,7.12,8.84,56250.6828128727,4.74118e+13,90.71604
"123",2005,"India",6.71,75,7.42,6.51,6.84,6.07,6.74,707.008019015027,4.74118e+13,90.71604
"124",2005,"Indonesia",6.35,90,7.59,3.57,7.39,6.98,6.19,1260.92883370077,4.74118e+13,90.71604
"125",2005,"Iran",6.09,102,6.32,4.75,8.06,5.62,5.73,1849.60391076699,4.74118e+13,90.71604
"126",2005,"Ireland",8.22,6,6.64,7.71,9.65,8.91,8.19,50878.6395176066,4.74118e+13,90.71604
"127",2005,"Israel",7.3,46,5.84,6.3,9.34,8.46,6.58,20557.124078202,4.74118e+13,90.71604
"128",2005,"Italy",7.37,40,5.92,6.23,9.52,8.03,7.14,31959.2629518749,4.74118e+13,90.71604
"129",2005,"Japan",7.83,15,5.72,7.88,9.66,7.65,8.22,37217.648727917,4.74118e+13,90.71604
"130",2005,"Kenya",7.15,53,8.57,4.26,8.62,6.63,7.67,519.799934598691,4.74118e+13,90.71604
"131",2005,"Korea, South",7.46,32,6.66,6.9,9.53,7.21,7.01,35490.2613236708,4.74118e+13,90.71604
"132",2005,"Luxembourg",7.6,22,4.35,8.09,9.47,8.47,7.61,80289.696409954,4.74118e+13,90.71604
"133",2005,"Malaysia",6.84,71,6.03,6.21,6.6,7.39,7.99,5593.82299540355,4.74118e+13,90.71604
"134",2005,"Mexico",6.83,72,7.11,4.96,8.08,7.25,6.75,8089.40903640424,4.74118e+13,90.71604
"135",2005,"Morocco",6.28,97,6.71,5.49,7.1,6.26,5.84,2013.75555926972,4.74118e+13,90.71604
"136",2005,"Netherlands",7.73,18,4.4,8.36,9.46,8.54,7.89,41577.1600883755,4.74118e+13,90.71604
"137",2005,"New Zealand",8.44,3,6.24,8.7,9.65,8.73,8.86,27750.7248353584,4.74118e+13,90.71604
"138",2005,"Nigeria",5.95,110,6.72,3.5,6.41,5.95,7.2,807.893873798136,4.74118e+13,90.71604
"139",2005,"Norway",7.73,18,5.69,8.97,9.2,7.38,7.42,66775.3943971756,4.74118e+13,90.71604
"140",2005,"Pakistan",6.09,102,8.26,3.59,6.04,6.11,6.43,711.469946269738,4.74118e+13,90.71604
"141",2005,"Peru",7.39,36,7.71,4.56,9.68,8.06,6.93,2754.78002900377,4.74118e+13,90.71604
"142",2005,"Philippines",7.02,61,8.79,4.59,7.94,6.84,6.92,1194.69711595643,4.74118e+13,90.71604
"143",2005,"Portugal",7.25,48,5.23,7.32,9.54,7.98,6.17,18784.9484992149,4.74118e+13,90.71604
"144",2005,"Singapore",8.86,2,8,8.49,9.71,9.37,8.73,29869.8539805446,4.74118e+13,90.71604
"145",2005,"South Africa",6.87,70,5.99,5.87,7.98,7.04,7.47,5277.92545855196,4.74118e+13,90.71604
"146",2005,"Spain",7.62,21,6.57,6.73,9.58,7.94,7.3,26510.7174533426,4.74118e+13,90.71604
"147",2005,"Sweden",7.5,30,3.67,8.17,9.71,8.25,7.69,43085.353145957,4.74118e+13,90.71604
"148",2005,"Switzerland",8.37,4,7.88,8.72,9.61,7.4,8.24,54952.6737181498,4.74118e+13,90.71604
"149",2005,"Syria",5.75,120,5.72,4.03,7.39,5.77,5.85,NA,4.74118e+13,90.71604
"150",2005,"Tanzania",6.29,95,6.27,5.34,7.57,6.12,6.15,442.25285430836,4.74118e+13,90.71604
"151",2005,"Thailand",6.72,74,7.12,6.28,6.76,6.43,6.99,2893.6513555654,4.74118e+13,90.71604
"152",2005,"Tunisia",6.37,89,5.23,5.82,7.3,6.44,7.04,3194.56224258243,4.74118e+13,90.71604
"153",2005,"Turkey",6.43,85,7.84,6.39,4.84,7.38,5.69,7384.25848221376,4.74118e+13,90.71604
"154",2005,"United Kingdom",8.26,5,6.29,8.27,9.45,8.79,8.5,41732.640540022,4.74118e+13,90.71604
"155",2005,"United States",8.22,6,7.13,7.54,9.76,8.06,8.61,44307.9205848603,4.74118e+13,90.71604
"156",2005,"Venezuela",4.73,136,4.91,2.77,5.1,5.61,5.27,NA,4.74118e+13,90.71604
"157",2000,"Argentina",7.34,38,7.78,5.24,9.71,7.62,6.34,7669.27391554066,3.35712e+13,97.87067
